Description,Amount,Label
Bought a high-end kitchen island,12000,
Paid for a personal assistant service,9500,
Purchased a custom-designed home bar,7000,
Subscribed to a gourmet chocolate delivery,35,
Bought a luxury men's grooming kit,8000,
Paid for a designer home office setup,6500,
Purchased a premium office chair,7500,
Subscribed to a luxury pet food service,20,
Bought a set of designer wine glasses,6000,
Paid for a private photography session,9500,
Purchased a high-end outdoor heater,7000,
Subscribed to an exclusive craft beer club,30,
Bought a luxury stone kitchen countertop,10000,
Paid for a custom-made fireplace,8500,
Purchased a designer backpack,7500,
Subscribed to a monthly tea box service,25,
Bought a premium set of speakers,8000,
Paid for a luxury fitness retreat,12000,
Purchased a designer home bar set,6000,
Subscribed to an exclusive gardening service,35,
Bought a luxury bedspread set,6500,
Paid for a custom wardrobe,7000,
Purchased a high-end surfboard,9500,
Subscribed to a premium cooking course,45,
Bought a designer coffee table set,7500,
Paid for a luxury spa package,8000,
Purchased a high-end set of wine accessories,10000,
Subscribed to an exclusive language course,30,
Bought a custom-made mattress,6000,
Paid for a private dinner experience,7000,
Purchased a luxury fashion accessory,8500,
Subscribed to a gourmet food subscription,50,
Bought a high-end sound system,12000,
Paid for a designer table lamp,6500,
Purchased a luxury tableware set,7500,
Subscribed to a premium skincare box service,30,
Bought a custom-built wardrobe,9500,
Paid for a luxury yoga retreat,8000,
Purchased a high-end espresso machine,10000,
Subscribed to an exclusive art class,20,
Bought a designer pet carrier,6000,
Paid for a custom interior design service,12000,
Purchased a luxury set of kitchen utensils,7500,
Subscribed to a private video streaming service,25,
Bought a high-end tent,8500,
Paid for a premium luxury mattress,7000,
Purchased a custom-built patio swing,6000,
Subscribed to an exclusive meal prep service,45,
Bought a designer outdoor couch,9500,
Paid for a high-end fireplace installation,10000,
Purchased a luxury bathroom vanity,8000,
Subscribed to a high-end virtual workout class,40,
Bought a luxury outdoor dining table,12000,
Paid for a premium fashion stylist,6500,
Purchased a designer scarf set,7000,
Subscribed to a private club for cocktails,25,
Bought a high-end outdoor rug,8500,
Paid for a luxury hotel suite,12000,
Purchased a custom home entertainment system,9500,
Subscribed to a gourmet coffee subscription,30,
Bought a luxury rocking chair,6000,
Paid for a premium bottle of wine,7000,
Purchased a high-end set of cookware,8000,
Subscribed to a luxury shoe subscription,45,
Bought a custom-built home gym,10000,
Paid for a designer rug set,9500,
Purchased a luxury custom hat,7500,
Subscribed to a luxury watch subscription,25,
Bought a high-end gaming chair,6000,
Paid for a personalized jewelry design,7000,
Purchased a designer mirror,8000,
Subscribed to a luxury fitness tracker service,35,
Bought a custom-built water fountain,9500,
Paid for a luxury home spa,10000,
Purchased a designer suit jacket,6500,
Subscribed to a gourmet snack box service,50,
Bought a premium grill set,7000,
Paid for a high-end kitchen renovation,12000,
Purchased a luxury designer painting,8000,
Subscribed to an exclusive dessert club,30,
Bought a custom-made dining table,9500,
Paid for a luxury food delivery package,8500,
Purchased a high-end blender,6000,
Subscribed to a fine dining subscription,45,
Bought a premium travel bag,8000,
Paid for a designer home spa experience,9500,
Purchased a luxury garden swing,7000,
Subscribed to a virtual reality fitness program,20,
Bought a custom-built fireplace,6500,
Paid for a high-end concert ticket,7500,
Purchased a designer desk lamp,8500,
Subscribed to an exclusive restaurant club,40,
Bought a luxury outdoor chair set,12000,
Paid for a premium mattress topper,6000,
Purchased a high-end soundbar system,7000,
Subscribed to a gourmet wine club,30,
Bought a luxury home theater system,10000,
Paid for a premium outdoor heating system,9500,
Purchased a designer handbag set,8500,
Subscribed to an exclusive skincare service,45,
Purchased a luxury portable speaker,6000,
Paid for a custom-designed home library,7500,
Bought a high-end leather jacket,9500,
Subscribed to a gourmet food truck service,25,
Bought a luxury golf club set,12000,
Paid for a personal yacht charter,10000,
Purchased a designer chaise lounge,7000,
Subscribed to a premium online course,40,
Bought a high-end espresso cup set,8000,
Paid for a personalized wedding ring design,8500,
Purchased a luxury photo album,6500,
Subscribed to a VIP travel concierge service,50,
Bought a custom-built office desk,7500,
Paid for a luxury diamond necklace,9500,
Purchased a designer leather sofa,8000,
Subscribed to a luxury camping service,30,
Bought a high-end watch winder,6000,
Paid for a personalized cooking lesson,7000,
Purchased a designer wall mirror,10000,
Subscribed to a luxury makeup subscription,25,
Bought a luxury pet grooming kit,6500,
Paid for a private wine cellar consultation,8000,
Purchased a high-end yoga mat,6000,
Subscribed to a gourmet ingredient service,40,
Bought a premium outdoor kitchen setup,9500,
Paid for a luxury chocolate tasting experience,7500,
Purchased a designer kitchen sink,7000,
Subscribed to a wine club membership,30,
Bought a luxury leather armchair,10000,
Paid for a high-end photo printing service,6500,
Purchased a custom pool table,8000,
Subscribed to a fine jewelry subscription,20,
Bought a luxury digital camera,9500,
Paid for a designer outdoor furniture set,12000,
Purchased a premium electric grill,6000,
Subscribed to a private fitness trainer,45,
Bought a high-end portable air conditioner,7000,
Paid for a luxury spa facial treatment,8500,
Purchased a designer wooden bookshelf,7500,
Subscribed to a VIP movie streaming service,30,
Bought a custom-made soundproof room kit,10000,
Paid for a luxury custom watch,9500,
Purchased a designer table centerpiece,6500,
Subscribed to a high-end interior design newsletter,20,
Bought a luxury smart mirror,7000,
Paid for a private cooking event,8000,
Purchased a high-end fitness equipment,7500,
Subscribed to a luxury fragrance box service,40,
Bought a designer rug for the living room,9500,
Paid for a premium massage chair,8500,
Purchased a high-end dining set,10000,
Subscribed to a subscription box for luxury chocolates,30,
Bought a luxury outdoor lighting setup,7000,
Paid for a designer spa treatment,8000,
Purchased a luxury briefcase,6000,
Subscribed to a personalized gardening service,25,
Bought a high-end home theater projector,9500,
Paid for a luxury vintage car restoration,12000,
Purchased a custom-made bicycle,7000,
Subscribed to a premium cooking appliance service,45,
Bought a designer chaise for the patio,6500,
Paid for a luxury vacation villa,8000,
Purchased a high-end French press,6000,
Subscribed to a gourmet cake delivery service,35,
Bought a luxury espresso machine,8500,
Paid for a designer closet installation,9500,
Purchased a premium hiking backpack,7500,
Subscribed to a custom fragrance creation service,30,
Bought a custom home sauna,10000,
Paid for a luxury haircare subscription,7000,
Purchased a designer mattress topper,8000,
Subscribed to an exclusive wine-tasting experience,40,
Bought a high-end record player,7500,
Paid for a luxury outdoor fireplace,9500,
Purchased a custom-designed pool,12000,
Subscribed to a monthly luxury shoe service,20,
Bought a designer travel wallet,6000,
Paid for a luxury home theater installation,7000,
Purchased a high-end chef’s knife set,8500,
Subscribed to a premium skincare line,30,
Bought a luxury home appliance,9500,
Paid for a designer home entryway decor,7500,
Purchased a custom outdoor bar setup,10000,
Subscribed to a subscription box for luxury accessories,45,
Bought a premium outdoor shower,6500,
Paid for a luxury custom-made hat,8000,
Purchased a high-end wine opener,6000,
Subscribed to an exclusive yoga retreat,25,
Bought a designer tablecloth,7000,
Paid for a luxury leather wallet,7500,
Purchased a custom chandelier,9500,
Subscribed to a gourmet coffee subscription,40,
Bought a high-end barbecue grill,10000,
Paid for a private concert,8500,
Purchased a designer home lighting fixture,8000,
Subscribed to an exclusive art exhibit,30,
Bought a luxury makeup kit,6000,
Paid for a high-end antique collection,12000,
Purchased a premium designer handbag,7000,
Subscribed to a gourmet tea club,35,
Bought a custom-built garage,8500,
Paid for a designer home office setup,7500,
Purchased a high-end cooking appliance,10000,
Subscribed to a luxury subscription service,25,
Bought a luxury home massage chair,6500,
Paid for a premium custom bicycle,8000,
Purchased a designer pendant necklace,9500,
Subscribed to an exclusive movie premiere service,40,
Bought a high-end designer coffee table,10000,
Paid for a luxury floral arrangement service,6500,
Purchased a custom-built staircase,8000,
Subscribed to a premium clothing subscription,30,
Bought a luxury outdoor dining set,9500,
Paid for a designer mirror set,12000,
Purchased a high-end digital piano,7500,
Subscribed to a monthly fragrance delivery,100,
Purchased a luxury watch case,6000,
Paid for a designer kitchen faucet,7500,
Bought a high-end whiskey set,9500,
Subscribed to a gourmet cheese delivery,30,
Bought a custom-built jewelry box,12000,
Paid for a luxury fitness tracker,10000,
Purchased a designer bookshelf,7000,
Subscribed to a premium magazine,40,
Bought a high-end wine rack,8000,
Paid for a private art collection consultation,8500,
Purchased a custom home security system,6500,
Subscribed to a luxury skincare subscription,25,
Bought a premium outdoor grill,7500,
Paid for a custom boat design,9500,
Purchased a high-end refrigerator,8000,
Subscribed to a gourmet ice cream service,35,
Bought a designer living room set,10000,
Paid for a luxury custom pool design,7000,
Purchased a high-end barbecue smoker,8500,
Subscribed to a luxury home cleaning service,30,
Bought a premium chef’s knife,6500,
Paid for a designer home art piece,7500,
Purchased a custom-designed wine cellar,9500,
Subscribed to a luxury watch service,25,
Bought a high-end outdoor fire pit,8000,
Paid for a luxury concierge service,8500,
Purchased a designer home bar,7000,
Subscribed to a premium cocktail kit service,35,
Bought a luxury home theater system,10000,
Paid for a designer dining table,9500,
Purchased a high-end laptop,12000,
Subscribed to an exclusive cocktail club,30,
Bought a luxury leather couch,7000,
Paid for a designer vanity set,7500,
Purchased a custom home gym setup,8000,
Subscribed to a fine dining subscription,25,
Bought a high-end custom rug,8500,
Paid for a luxury vacation villa,9500,
Purchased a designer photo frame,6000,
Subscribed to a premium meal delivery service,40,
Bought a custom wine glass set,7000,
Paid for a luxury hair styling service,8500,
Purchased a high-end home appliance,10000,
Subscribed to a premium pet subscription,30,
Bought a luxury men’s leather jacket,12000,
Paid for a custom-designed outdoor patio,7500,
Purchased a designer bathroom mirror,9500,
Subscribed to an exclusive shopping experience,20,
Bought a high-end designer vase,6500,
Paid for a luxury boat tour,8000,
Purchased a custom home office chair,7000,
Subscribed to a luxury chocolate delivery,35,
Bought a designer hand-woven rug,9500,
Paid for a luxury resort package,12000,
Purchased a premium sound system,8000,
Subscribed to a private fine dining club,25,
Bought a high-end leather handbag,6500,
Paid for a custom-designed dining set,7000,
Purchased a luxury electric fireplace,8500,
Subscribed to a gourmet pastry service,40,
Bought a designer mirror frame,9500,
Paid for a private photography class,10000,
Purchased a luxury designer scarf,6500,
Subscribed to a high-end wine delivery service,30,
Bought a high-end air purifier,7000,
Paid for a custom-designed fireplace,7500,
Purchased a premium outdoor lounge set,8500,
Subscribed to a luxury fashion rental service,25,
Bought a custom kitchen backsplash,10000,
Paid for a designer bathtub installation,7000,
Purchased a luxury outdoor lighting fixture,8000,
Subscribed to a private membership club,40,
Bought a high-end designer trench coat,9500,
Paid for a luxury yacht experience,8500,
Purchased a custom-designed bed frame,7500,
Subscribed to an exclusive skincare box,25,
Bought a luxury home accessory,6500,
Paid for a custom jewelry design,10000,
Purchased a high-end kitchen island,9500,
Subscribed to a premium fitness tracker service,35,
Bought a custom sound system,7000,
Paid for a luxury designer chair,8000,
Purchased a premium bicycle,12000,
Subscribed to a luxury dessert subscription,30,
Bought a high-end patio heater,7500,
Paid for a luxury designer handbag,8500,
Purchased a custom built outdoor kitchen,9500,
Subscribed to a fine wine tasting service,25,
Bought a high-end leather travel bag,7000,
Paid for a designer office lamp,6500,
Purchased a luxury chandelier for dining room,8000,
Subscribed to an exclusive gourmet food service,40,
Bought a custom home garden setup,9500,
Paid for a premium home appliance service,10000,
Purchased a high-end set of golf clubs,8500,
Subscribed to a premium coffee club,30,
Bought a designer dining chair,7500,
Paid for a custom kitchen renovation,9500,
Purchased a luxury home security camera system,7000,
Subscribed to a luxury shopping service,25,
Bought a premium mattress set,8000,
Paid for a designer home entryway fixture,10000,
Purchased a custom-built greenhouse,9500,
Subscribed to an exclusive jewelry box service,40,
Bought a high-end luxury scarf,6500,
Paid for a luxury dog grooming service,7000,
Purchased a premium home cinema system,8500,
Subscribed to a VIP dinner service,30,
Bought a luxury bed set,6000,
Paid for a designer pool chair,7500,
Purchased a high-end blender,9500,
Subscribed to a gourmet snack box,30,
Bought a custom-made wine cooler,10000,
Paid for a luxury pet bed,8000,
Purchased a designer coffee table,7000,
Subscribed to a luxury chocolate subscription,25,
Bought a premium ergonomic chair,8500,
Paid for a custom-built greenhouse,9500,
Purchased a high-end gaming chair,10000,
Subscribed to a private concierge service,30,
Bought a luxury leather portfolio,6000,
Paid for a designer home lighting solution,7500,
Purchased a high-end blender,9500,
Subscribed to a wine subscription box,40,
Bought a custom-designed table lamp,7000,
Paid for a designer kitchen sink,8500,
Purchased a premium home theater projector,10000,
Subscribed to a premium fitness plan,25,
Bought a high-end wristwatch,9500,
Paid for a luxury home makeover,7500,
Purchased a designer outdoor rug,6500,
Subscribed to a luxury shopping experience,30,
Bought a custom patio furniture set,8500,
Paid for a luxury massage therapy package,7000,
Purchased a premium dining chair,9500,
Subscribed to a luxury coffee subscription,40,
Bought a high-end soundbar,10000,
Paid for a custom-designed home gym,8500,
Purchased a luxury bathrobe,7500,
Subscribed to an exclusive beauty box service,25,
Bought a high-end massage chair,7000,
Paid for a premium custom cabinet,8500,
Purchased a custom outdoor fireplace,9500,
Subscribed to a gourmet recipe service,30,
Bought a luxury coffee machine,8000,
Paid for a designer shower system,7500,
Purchased a high-end portable grill,9500,
Subscribed to a luxury skincare box,25,
Bought a designer bedroom lamp,7000,
Paid for a luxury wine-tasting event,8500,
Purchased a custom wine cellar,10000,
Subscribed to a private art collection,40,
Bought a high-end chef’s knife,9500,
Paid for a luxury concierge trip,8000,
Purchased a premium beach chair,7500,
Subscribed to a high-end meal service,25,
Bought a custom-designed bed frame,7000,
Paid for a luxury custom-built kitchen,9500,
Purchased a designer home art piece,8000,
Subscribed to a premium clothing service,35,
Bought a high-end outdoor lounge set,9500,
Paid for a luxury dog walker service,7000,
Purchased a custom fireplace design,8000,
Subscribed to a gourmet meal kit service,25,
Bought a high-end picnic basket,6500,
Paid for a luxury home décor package,8500,
Purchased a premium personal trainer service,9500,
Subscribed to an exclusive skincare line,40,
Bought a custom home entertainment system,10000,
Paid for a luxury yacht charter,9500,
Purchased a designer lamp for the living room,8000,
Subscribed to a premium chocolate club,25,
Bought a high-end suitcase,7000,
Paid for a luxury personal shopping service,9500,
Purchased a custom-built wooden desk,8500,
Subscribed to a high-end fitness club,30,
Bought a designer outdoor bench,10000,
Paid for a luxury car detailing service,7000,
Purchased a high-end oven,9500,
Subscribed to a premium gourmet box,25,
Bought a custom-built pizza oven,8500,
Paid for a luxury tailored suit,8000,
Purchased a premium outdoor sound system,10000,
Subscribed to a gourmet sandwich service,40,
Bought a high-end garden sculpture,6500,
Paid for a designer custom chair,7500,
Purchased a luxury spa experience,9500,
Subscribed to an exclusive fashion service,35,
Bought a custom-designed wine rack,8000,
Paid for a luxury night at a boutique hotel,10000,
Purchased a high-end fitness machine,9500,
Subscribed to a luxury cooking appliance club,30,
Bought a designer dining table,8500,
Paid for a premium home painting service,7000,
Purchased a high-end custom wardrobe,9500,
Subscribed to a premium meal service,40,
Bought a custom-built outdoor pool,10000,
Paid for a luxury designer couch,8500,
Purchased a designer coffee table set,9500,
Subscribed to an exclusive luxury box service,30,
Bought a high-end workout bench,7000,
Paid for a premium home gym setup,10000,
Purchased a custom kitchen cabinet set,7500,
Subscribed to a luxury wine service,25,
Bought a high-end portable speaker,9500,
Paid for a designer home security system,8500,
Purchased a premium gaming console,8000,
Subscribed to a gourmet meal service,40,
Bought a custom luxury bed,9500,
Paid for a luxury personal chef service,7000,
Purchased a high-end designer mirror,8000,
Subscribed to a luxury music streaming service,30,
Bought a custom outdoor bar,10000,
Paid for a premium beauty treatment,9500,
Purchased a high-end designer rug,8500,
Subscribed to a VIP wine club,25,
Bought a luxury designer dining set,9500,
Paid for a custom-built desk,7000,
Purchased a premium designer briefcase,8000,
Subscribed to an exclusive fashion service,40,
Bought groceries,10000,
Paid for car insurance,5000,
Purchased a subscription for a fitness app,1500,
Paid for a utility bill,3000,
Purchased a new sofa,6000,
Bought new shoes,2000,
Paid for a new television,8000,
Bought an air purifier,2500,
Subscribed to a meal delivery service,1200,
Purchased new winter clothes,4000,
Bought a bike,5000,
Paid for a home internet upgrade,3000,
Purchased a new washing machine,7000,
Bought a dining set,3000,
Paid for a medical consultation,2000,
Purchased a home air conditioner,4000,
Bought a set of kitchen appliances,3500,
Paid for a gym membership,1200,
Purchased a new desk,2000,
Bought a gift card,2500,
Paid for a subscription box,1500,
Bought groceries for the week,3000,
Paid for a clothing alteration,1000,
Bought a set of home decor items,2000,
Purchased a new computer,5000,
Paid for an online course,1500,
Bought a new smartphone,4000,
Paid for a dental check-up,2000,
Purchased a camping kit,3000,
Bought new bed linens,2500,
Paid for a hotel stay,4000,
Bought a set of cookware,3500,
Paid for a flight ticket,5000,
Purchased new workout equipment,2500,
Bought a new laptop,6000,
Paid for a car wash service,1000,
Purchased a garden tool set,2000,
Bought a new coffee machine,3000,
Paid for a family subscription to a streaming service,1200,
Purchased a set of home lighting fixtures,1500,
Bought a gift for a special occasion,2500,
Paid for a software subscription,1000,
Purchased a new camera,5000,
Bought a set of headphones,2000,
Paid for a custom-made shirt,1200,
Purchased a gaming console,4000,
Bought a high-end clock,1500,
Paid for a spa day,3000,
Purchased a home printer,2500,
Bought new furniture for the office,6000,
Paid for a package of home cleaning services,1000,
Purchased a high-end blender,3500,
Bought new curtains for the living room,2500,
Paid for a home pest control service,1500,
Purchased a gym equipment set,4000,
Bought a new set of bed sheets,1000,
Paid for a vacation rental,5000,
Purchased a massage chair,7000,
Bought new kitchen utensils,2000,
Paid for a monthly subscription box,1200,
Purchased a premium wine set,3500,
Bought a pet grooming service,1500,
Paid for a photography session,2500,
Purchased a camping stove,2000,
Bought a set of home exercise DVDs,1000,
Paid for a concert ticket,2000,
Purchased a set of luxury towels,2500,
Bought a new set of gardening tools,1500,
Paid for a car repair service,3000,
Purchased a sound system,4000,
Bought a set of vintage books,1000,
Paid for a yoga class,1200,
Purchased a designer bag,4000,
Bought a set of skincare products,2500,
Paid for a weekend getaway,3000,
Purchased a professional camera lens,5000,
Bought a custom phone case,1000,
Paid for a house cleaning service,1500,
Purchased a luxury chocolate gift box,2000,
Bought a designer watch,5000,
Paid for a makeup session,2500,
Purchased a new pair of sunglasses,1500,
Bought a luxury fragrance,3500,
Paid for a weekend spa retreat,4500,
Purchased a premium digital camera,4000,
Bought a set of designer cufflinks,3000,
Paid for an online fitness course,1500,
Purchased a designer jacket,3500,
Bought a new pair of running shoes,2000,
Paid for a car rental service,3000,
Purchased a set of luxury wine glasses,2500,
Bought a set of home office furniture,4000,
Paid for a private chef service,5000,
Purchased a new lawnmower,3500,
Bought a fitness tracker,2000,
Paid for a home theater projector,6000,
Purchased a set of premium teas,1000,
Bought a professional blow dryer,2000,
Paid for a subscription to a health magazine,1200,
Purchased a new rug for the living room,3000,
Bought a designer lamp,2500,
Paid for a car detailing service,1500,
Purchased a set of luxury bed linens,4000,
Bought a set of gardening pots,1500,
Paid for a beauty treatment,2500,
Purchased a designer wallet,3500,
Bought a professional juicer,2000,
Paid for a new tire set,3000,
Purchased a gym membership,1200,
Bought a set of outdoor furniture,4000,
Paid for a housewarming gift,1500,
Purchased a custom-made T-shirt,1000,
Bought a set of luxury bedding,2500,
Paid for a yoga retreat,3000,
Purchased a luxury wallet,4000,
Bought a high-end jacket,3500,
Paid for a home renovation,5000,
Purchased a fitness program,1500,
Bought a set of luxury perfume,2000,
Paid for a subscription to a fashion box,1000,
Bought a luxury designer handbag,6000,
Paid for a custom-built outdoor kitchen,7500,
Purchased a high-end gaming laptop,9500,
Subscribed to a gourmet meal delivery service,30,
Bought a designer leather chair,8000,
Paid for a custom home gym setup,7000,
Purchased a high-end home projector,9500,
Subscribed to a luxury home decor service,25,
Bought a premium Bluetooth speaker,7500,
Paid for a private chef for a week,10000,
Purchased a luxury designer watch,12000,
Subscribed to a fitness meal subscription,35,
Bought a high-end electric bicycle,8000,
Paid for a premium mattress,9500,
Purchased a designer outdoor sofa,10000,
Subscribed to a beauty subscription box,30,
Bought a high-end kitchen island,7000,
Paid for a custom-designed luxury car,12000,
Purchased a premium sound system,8500,
Subscribed to a high-end coffee club,25,
Bought a luxury pool table,9500,
Paid for a designer home office chair,6500,
Purchased a custom-made wardrobe,8000,
Subscribed to a gourmet chocolate box,40,
Bought a designer wine rack,7000,
Paid for a luxury car detailing service,7500,
Purchased a high-end wine cooler,10000,
Subscribed to a luxury pet subscription,30,
Bought a custom-built aquarium,9500,
Paid for a luxury bathroom renovation,8500,
Purchased a premium chef’s knife,7000,
Subscribed to a private art exhibition,25,
Bought a luxury massage chair,8000,
Paid for a designer backyard patio,9500,
Purchased a high-end home security system,10000,
Subscribed to a gourmet meal box,35,
Bought a designer outdoor fireplace,7000,
Paid for a luxury home cleaning service,8500,
Purchased a custom-made chandelier,9500,
Subscribed to a premium shopping service,30,
Bought a high-end designer rug,8000,
Paid for a custom-built patio deck,10000,
Purchased a luxury home theater system,9500,
Subscribed to a fitness subscription service,25,
Bought a designer living room set,7500,
Paid for a luxury travel package,12000,
Purchased a high-end kitchen appliance,7000,
Subscribed to a premium art box,40,
Bought a luxury designer coat,8000,
Paid for a designer garden furniture set,9500,
Purchased a high-end soundbar,10000,
Subscribed to a luxury vacation club,25,
Bought a custom-designed patio furniture set,7000,
Paid for a luxury personal styling service,7500,
Purchased a designer kitchen backsplash,8000,
Subscribed to a premium skincare service,30,
Bought a luxury leather briefcase,9500,
Paid for a designer home decor consultation,8500,
Purchased a custom-built office desk,10000,
Subscribed to an exclusive wine service,40,
Bought a designer dining set,7000,
Paid for a luxury art collection consultation,7500,
Purchased a high-end barbecue grill,9500,
Subscribed to a luxury chocolate delivery,30,
Bought a custom-made bed frame,8500,
Paid for a designer bathroom mirror,7000,
Purchased a premium home gym setup,9500,
Subscribed to a gourmet coffee subscription,25,
Bought a high-end dining chair,8000,
Paid for a luxury yacht tour,10000,
Purchased a designer outdoor rug,9500,
Subscribed to a fine wine subscription,30,
Bought a custom-built outdoor grill,7500,
Paid for a luxury home renovation,9500,
Purchased a high-end bathroom faucet,10000,
Subscribed to a luxury home cleaning service,25,
Bought a luxury designer sofa,8500,
Paid for a custom-designed wardrobe,7000,
Purchased a premium sound system,9500,
Subscribed to an exclusive fashion service,40,
Bought a high-end designer coat,12000,
Paid for a luxury outdoor lounge set,7000,
Purchased a designer photo frame,8000,
Subscribed to a luxury travel service,30,
Bought a custom-made rug,9500,
Paid for a designer lighting fixture,8500,
Purchased a luxury fitness tracker,10000,
Subscribed to a premium meal delivery service,25,
Bought a high-end portable grill,7500,
Paid for a custom-designed wine cellar,8000,
Purchased a luxury leather jacket,9500,
Subscribed to an exclusive culinary club,40,
Bought a designer outdoor sofa set,7000,
Paid for a luxury personal chef,10000,
Purchased a high-end luxury bed set,8500,
Subscribed to a fine dining experience,30,
Bought a luxury leather backpack,9500,
Paid for a designer backyard makeover,8000,
Purchased a premium home sound system,10000,
Subscribed to a high-end cocktail kit service,25,
Bought a custom-made leather chair,7500,
Paid for a luxury beach house rental,9500,
Purchased a high-end home decor item,7000,
Subscribed to a luxury gourmet box service,40,
Bought a designer garden sculpture,8500,
Paid for a luxury vacation rental,10000,
Purchased a premium bicycle,9500,
Subscribed to an exclusive fashion box,30,
Bought a custom-made luxury chair,6500,
Paid for a high-end custom-built shed,7000,
Purchased a luxury Italian leather jacket,8500,
Subscribed to a gourmet coffee subscription,25,
Bought a premium home security camera system,10000,
Paid for a designer backyard gazebo,8000,
Purchased a high-end spa day,9500,
Subscribed to a luxury snack subscription,35,
Bought a custom-built dining table,9500,
Paid for a luxury ski resort vacation,12000,
Purchased a designer wardrobe organizer,7000,
Subscribed to a fitness box delivery service,25,
Bought a high-end BBQ grill,8000,
Paid for a luxury pet grooming service,8500,
Purchased a premium kitchen appliance,10000,
Subscribed to a fine wine club,40,
Bought a custom-made fireplace,9500,
Paid for a designer living room furniture set,12000,
Purchased a high-end garden design,8500,
Subscribed to an exclusive travel club,30,
Bought a luxury dining table set,7000,
Paid for a designer home painting service,9500,
Purchased a premium leather sofa,8000,
Subscribed to a luxury skincare subscription,25,
Bought a custom outdoor lounge set,8000,
Paid for a high-end bathroom renovation,9500,
Purchased a designer home lighting fixture,10000,
Subscribed to a private wine tasting service,35,
Bought a high-end ergonomic chair,7000,
Paid for a custom kitchen remodel,8500,
Purchased a designer home office desk,8000,
Subscribed to a luxury meal kit,30,
Bought a custom designer rug,9500,
Paid for a luxury beach resort stay,10000,
Purchased a high-end personal trainer service,8500,
Subscribed to a premium gourmet chocolate club,25,
Bought a designer wine cabinet,7000,
Paid for a custom-built outdoor kitchen,9500,
Purchased a luxury velvet sofa,8000,
Subscribed to a fine dining subscription service,40,
Bought a high-end custom bookshelf,7500,
Paid for a premium vacation experience,12000,
Purchased a designer bed frame,8500,
Subscribed to a gourmet meal subscription,30,
Bought a luxury lounge chair,9500,
Paid for a high-end massage chair,7000,
Purchased a premium outdoor dining set,8500,
Subscribed to a luxury shopping experience,25,
Bought a custom-designed kitchen island,10000,
Paid for a luxury concert experience,7500,
Purchased a designer kitchen faucet,9500,
Subscribed to a premium pet care service,35,
Bought a high-end personal organizer,7000,
Paid for a custom-designed home theater,10000,
Purchased a luxury designer mirror,8000,
Subscribed to an exclusive food delivery service,30,
Bought a custom-built designer bookshelf,9500,
Paid for a luxury personal fitness coach,8500,
Purchased a high-end gaming system,12000,
Subscribed to a premium gourmet cooking service,40,
Bought a luxury outdoor dining table,7500,
Paid for a designer shower unit,7000,
Purchased a high-end leather desk chair,9500,
Subscribed to a luxury cooking class service,25,
Bought a custom luxury chandelier,8500,
Paid for a luxury spa weekend,10000,
Purchased a premium sound system,7000,
Subscribed to a gourmet dessert service,30,
Bought a designer coffee machine,8000,
Paid for a custom-built home bar,9500,
Purchased a high-end designer sofa,10000,
Subscribed to a premium skincare line,25,
Bought a luxury home theater system,8500,
Paid for a custom-designed landscape design,12000,
Purchased a high-end bicycle,9500,
Subscribed to a luxury gym membership,30,
Bought a custom-made dining table set,7000,
Paid for a luxury car rental,8500,
Purchased a high-end home security system,10000,
Subscribed to a gourmet seafood subscription,35,
Bought a designer leather handbag,7500,
Paid for a custom-built wooden deck,9500,
Purchased a premium air purifier,7000,
Subscribed to a fine wine delivery service,25,
Bought a luxury patio furniture set,8500,
Paid for a designer home office makeover,10000,
Purchased a high-end entertainment system,9500,
Subscribed to a luxury travel package,30,
Bought a custom-built outdoor pool,12000,
Paid for a luxury personal concierge service,7000,
Purchased a premium fitness tracker,9500,
Subscribed to a high-end jewelry box service,25,
Bought a luxury designer briefcase,8000,
Paid for a custom-built storage unit,7500,
Purchased a high-end massage therapy package,9500,
Subscribed to a luxury perfume service,30,
Bought a premium outdoor hammock,7000,
Paid for a luxury garden sculpture,10000,
Purchased a designer kitchen island,8500,
Subscribed to a luxury home improvement service,25,
Bought a custom-made coffee table,7500,
Paid for a luxury concierge service,12000,
Purchased a high-end designer patio,9500,
Subscribed to a fine dining restaurant service,30,
Bought a luxury designer pillow,7000,
Paid for a custom-designed home entryway,8500,
Purchased a premium home appliance package,9500,
Subscribed to a luxury art service,35,
Bought a luxury sports car,12000,
Paid for a custom-made pool table,7000,
Purchased a high-end designer watch,9500,
Subscribed to a premium wine subscription,35,
Bought a custom-built outdoor fireplace,8500,
Paid for a luxury kitchen remodel,10000,
Purchased a high-end leather sofa,8000,
Subscribed to a premium fitness class,25,
Bought a custom home theater system,9000,
Paid for a designer office furniture set,9500,
Purchased a high-end sound system,7000,
Subscribed to a gourmet food delivery service,30,
Bought a luxury designer jacket,7500,
Paid for a luxury personal trainer,8000,
Purchased a high-end electric vehicle,12000,
Subscribed to a premium skincare line,25,
Bought a custom-made dining table,8000,
Paid for a luxury art consultation,10000,
Purchased a high-end designer chandelier,9500,
Subscribed to a private chef service,30,
Bought a premium leather briefcase,7000,
Paid for a luxury travel experience,12000,
Purchased a high-end designer rug,8500,
Subscribed to an exclusive travel club,40,
Bought a designer garden sculpture,7500,
Paid for a custom-built luxury desk,9500,
Purchased a high-end soundbar,7000,
Subscribed to a luxury food box service,30,
Bought a custom-made luxury chair,8000,
